Name,Localized name,Localized description,locale
First Flight,First Flight,Finish your first flight.,en-US
First Flight,First Flight,Finish your first flight.,en-GB
Score 100,Score 100,Reach a score of 100.,en-US
Score 100,Score 100,Reach a score of 100.,en-GB
Score 250,Score 250,Reach a score of 250.,en-US
Score 250,Score 250,Reach a score of 250.,en-GB
Score 500,Score 500,Reach a score of 500.,en-US
Score 500,Score 500,Reach a score of 500.,en-GB
Score 1000,Score 1000,Reach a score of 1000.,en-US
Score 1000,Score 1000,Reach a score of 1000.,en-GB
Clean Glide x3,Clean Glide x3,Hold a clean-glide streak of 3.,en-US
Clean Glide x3,Clean Glide x3,Hold a clean-glide streak of 3.,en-GB
Clean Glide x5,Clean Glide x5,Hold a clean-glide streak of 5.,en-US
Clean Glide x5,Clean Glide x5,Hold a clean-glide streak of 5.,en-GB
Daily Flyer,Daily Flyer,Complete a Daily Challenge run.,en-US
Daily Flyer,Daily Flyer,Complete a Daily Challenge run.,en-GB
Early Crumple,Early Crumple,Crash within 3 seconds of launch.,en-US
Early Crumple,Early Crumple,Crash within 3 seconds of launch.,en-GB
